replicas,virtual users,pod response,node response,failed rate,http reqs,http req duration (90%),http req duration (95%)
1,100,0.4953368561748116,10.566666666672972,0.00,15010,1.6s,1.89s
1,250,0.49556267151734024,10.45416666667127,0.00,15668,5.99s,6.89s
1,500,0.417792395202414,10.683333333327028,0.04,15824,11.9s,13.37s
1,750,0.4956207730400662,10.520833333339397,0.00,16217,16.49s,"17.89s
"
1,1000,0.2988645499999962,10.537499999997323,0.73,16403,21.19s,22.56s
1,1250,0.4184516118900987,10.670833333327508,2.24,16441,27.38s,28.76s
1,1500,0.495866714728406,11.750000000010914,0.06,16832,31.29s,"32.79s
"
1,1750,0.4238503007058103,10.566666666666919,0.27,16707,35.99s,"37.49s
"
1,2000,0.3330048375000047,10.558333333337941,5.17,17281,41.59s,"43.18s
"
1,2250,0.49589614118426645,10.72500000000825,1.11,15355,49.3s,"50.89s
"
