replicas,virtual users,pod response,node response,failed rate,http reqs,http req duration (90%),http req duration (95%)
1,100,0.6149168796006426,6.597916666666578,0.16,23132,34.26ms,"40.25ms
"
1,250,0.7587667249999996,12.868749999999991,0.00,58334,45.61ms,"69.57ms
"
1,500,2.8380645209357747,24.027083333333223,0.00,115242,73.18ms,110ms
1,750,3.3729192072577354,33.602083333333425,0.00,163356,231.33ms,"311.14ms
"
1,1000,5.122628621788677,40.5479166666664,0.00,195015,439.96ms,522.3ms
1,1250,5.199392342085656,41.03125000000005,0.00,201731,705.29ms,"807.71ms
"
1,1500,5.172382669360941,41.304166666666696,0.00,202534,991.12ms,1.08s
1,1750,5.102815422047126,42.24791666666656,0.00,202411,1.29s,1.41s
1,2000,5.18136133811176,40.15625000000009,0.00,203612,1.59s,1.71s
1,2250,5.065383516841634,41.418749999999996,0.00,202844,1.9s,1.99s
2,100,0.3751434988553243,7.754166666666322,0.10,23334,35.79ms,"43.81ms
"
2,250,0.7537840747429745,14.191666666666634,0.00,58513,39.32ms,"52.34ms
"
2,500,0.9191825374999951,25.60208333333361,0.00,113755,97.34ms,"185.47ms
"
2,750,2.22980668065731,35.98333333333319,0.00,160472,291.64ms,"416.11ms
"
2,1000,2.6612131601223905,42.65625000000075,0.00,187347,601.61ms,"725.12ms
"
2,1250,2.85340479720331,45.816666666666684,0.00,195506,910.85ms,1.06s
2,1500,2.8097216576442383,45.07083333333336,0.00,194611,1.25s,1.42s
2,1750,2.469620745373843,43.75416666666637,0.00,193542,1.57s,1.74s
2,2000,2.02434690936425,42.460416666667335,0.00,192524,1.9s,2.07s
2,2250,2.5961721559553546,40.82708333333358,0.00,189556,2.27s,2.42s
3,100,0.22630846685952632,7.7979166666671205,0.02,23329,35.3ms,"41.08ms
"
3,250,0.48667039052836847,14.395833333333414,0.00,58464,42.28ms,"57.63ms
"
3,500,0.9062356078939606,26.733333333333093,0.00,114650,80.38ms,"125.31ms
"
3,750,1.4966243633183993,34.575,0.00,156089,376.28ms,"547.56ms
"
3,1000,1.9033477280853268,45.07708333333292,0.00,182756,680.16ms,"822.56ms
"
3,1250,2.0418017355541664,47.70416666666619,0.00,195675,976.29ms,1.16s
3,1500,2.0135107166774597,47.877083333334184,0.00,191855,1.45s,1.64s
3,1750,1.9896792899905336,47.83541666666641,0.00,190722,1.84s,2.05s
3,2000,1.7659254441828685,45.6958333333328,0.00,188407,2.16s,2.36s
