replicas,virtual users,pod response,node response,failed rate
1,50,0.1528794580982292,15.837962962961896,0.00
1,100,0.3523472134504414,21.926851851851637,0.00
1,150,0.42802034176924875,22.52314814815354,0.15
1,200,0.34954647337072714,20.73148148148364,0.58
1,250,0.34855531118651656,20.983333333332894,0.96
1,300,0.3616035893177221,21.08611111110939,1.42
1,350,0.3477820972333747,20.36851851852218,2.17
1,400,0.315592650000001,22.879629629627473,2.87
1,450,0.3309931449305636,22.182407407413436,3.55
1,500,0.36468703196521873,19.98611111111434,4.65
