replicas,virtual users,pod response,node response,failed rate,http reqs,http req duration (90%),http req duration (95%)
1,100,0.4956643772263027,11.191666666685094,0.00,15989,1.49s,1.7s
1,250,0.49574432651437716,11.133333333339877,0.05,15479,6.74s,7.99s
1,500,0.4952224661304217,11.091666666664736,0.02,16456,11.48s,12.8s
1,750,0.4957916966807292,11.420833333340852,0.00,16702,16s,17.29s
1,1000,0.49589754384920826,11.337499999990541,0.12,16926,20.78s,22.1s
1,1250,0.4953081536302129,12.441666666672972,0.50,16683,26.39s,27.99s
1,1500,0.4168183817008321,11.075000000000728,2.42,17019,31.53s,33.05s
1,1750,0.4957890334259053,10.970833333340124,4.10,17229,36.9s,38.87s
1,2000,0.4956047195033027,11.195833333319271,5.26,17335,40.87s,42.6s
1,2250,0.4955477323535283,11.049999999995634,10.10,18134,46.2s,51.33s
