replicas,virtual users,pod response,node response,failed rate,http reqs,http req duration (90%),http req duration (95%)
1,100,0.6557982033304074,7.083333333330316,0.00,30000,33.47ms,37.3ms
1,250,1.353856089547262,12.804166666671037,0.00,75000,34.73ms,"45.65ms
"
1,500,2.7295689862186885,23.545833333332666,0.00,150000,72.93ms,"120.53ms
"
1,750,4.4496662303386305,36.51458333333723,0.00,224726,288.24ms,"441.78ms
"
1,1000,4.611608006974398,42.64166666666671,0.00,254648,2.56s,2.65s
1,1250,5.311375362962465,41.95208333333237,0.00,254587,3.18s,3.29s
1,1500,5.212520588845126,41.45833333333333,0.00,256227,3.76s,3.87s
1,1750,5.214162710830424,42.452083333329625,0.00,254755,4.41s,4.51s
1,2000,5.23350004352646,41.918749999999825,0.00,256427,5s,5.11s
1,2250,4.24986605706123,40.449999999999186,0.00,253197,5.71s,6.1s
5,100,0.18651093792617376,10.377083333332862,0.11,29999,36.74ms,"43.19ms
"
5,250,0.31497887388904205,16.468750000000583,0.00,75001,35.68ms,"46.12ms
"
5,500,0.6815468910392122,29.93541666666715,0.00,150001,74.05ms,"124.04ms
"
5,750,1.1199310736962063,46.55833333333551,0.00,224520,331.12ms,"608.13ms
"
5,1000,1.009403218635635,47.07291666666302,0.00,237806,3.61s,3.88s
5,1250,1.0294677633545566,45.86249999999836,0.00,236421,4.27s,4.51s
5,1500,1.1733094072620134,47.31874999999641,0.00,228838,5.1s,5.38s
5,1750,1.251053561628593,48.92083333333327,0.00,241360,5.46s,5.71s
5,2000,1.221724752699416,42.550000000001084,0.00,236591,6.24s,6.6s
5,2250,1.1644146263950568,50.71249999999661,0.00,241663,6.76s,7.04s
9,100,0.09448310950889893,9.887500000004351,0.03,30001,36.02ms,"42.24ms
"
9,250,0.1867774518007559,16.82916666666793,0.00,75001,35.87ms,"46.18ms
"
9,500,0.35668965284034965,31.21249999999995,0.00,150001,73.27ms,"120.98ms
"
9,750,0.6502135596178007,47.989583333329996,0.00,224504,296.21ms,480.4ms
9,1000,0.7369807513715537,51.762500000002845,0.00,237252,4.67s,4.98s
9,1250,0.71252844720683,50.195833333332295,0.00,235232,5.44s,5.73s
9,1500,0.6567824177800762,47.285416666665405,0.00,226360,6.35s,6.68s
9,1750,0.7022609084713626,53.31666666667236,0.00,232736,6.75s,7.13s
9,2000,0.6172188164977035,51.139583333333576,0.00,237265,7.36s,7.63s
9,2250,0.6571603548731388,50.329166666667035,0.00,235905,8.03s,8.4s
