period,count
1998-06-09 00:00:00,3173
1998-06-09 00:01:00,3003
1998-06-09 00:02:00,3147
1998-06-09 00:03:00,3212
1998-06-09 00:04:00,3444
1998-06-09 00:05:00,3009
1998-06-09 00:06:00,2858
1998-06-09 00:07:00,2993
1998-06-09 00:08:00,3191
1998-06-09 00:09:00,3050
1998-06-09 00:10:00,3082
1998-06-09 00:11:00,2915
1998-06-09 00:12:00,2719
1998-06-09 00:13:00,2684
1998-06-09 00:14:00,3020
1998-06-09 00:15:00,2666
1998-06-09 00:16:00,2730
1998-06-09 00:17:00,3110
1998-06-09 00:18:00,2854
1998-06-09 00:19:00,2950
1998-06-09 00:20:00,3057
1998-06-09 00:21:00,2965
1998-06-09 00:22:00,2922
1998-06-09 00:23:00,3123
1998-06-09 00:24:00,3238
1998-06-09 00:25:00,3206
1998-06-09 00:26:00,2941
1998-06-09 00:27:00,2909
1998-06-09 00:28:00,3109
1998-06-09 00:29:00,2948
1998-06-09 00:30:00,2878
1998-06-09 00:31:00,3286
1998-06-09 00:32:00,3299
1998-06-09 00:33:00,3293
1998-06-09 00:34:00,3361
1998-06-09 00:35:00,3389
1998-06-09 00:36:00,3084
1998-06-09 00:37:00,3160
1998-06-09 00:38:00,3312
1998-06-09 00:39:00,3192
1998-06-09 00:40:00,3119
1998-06-09 00:41:00,2970
1998-06-09 00:42:00,2806
1998-06-09 00:43:00,2962
1998-06-09 00:44:00,2845
1998-06-09 00:45:00,2907
1998-06-09 00:46:00,3206
1998-06-09 00:47:00,3216
1998-06-09 00:48:00,3131
1998-06-09 00:49:00,3207
1998-06-09 00:50:00,3462
1998-06-09 00:51:00,3298
1998-06-09 00:52:00,3011
1998-06-09 00:53:00,3222
1998-06-09 00:54:00,3285
1998-06-09 00:55:00,3255
1998-06-09 00:56:00,3000
1998-06-09 00:57:00,3191
1998-06-09 00:58:00,2917
1998-06-09 00:59:00,2709
1998-06-09 01:00:00,2694
1998-06-09 01:01:00,3243
1998-06-09 01:02:00,3219
1998-06-09 01:03:00,3011
1998-06-09 01:04:00,2981
1998-06-09 01:05:00,2946
1998-06-09 01:06:00,2759
1998-06-09 01:07:00,2843
1998-06-09 01:08:00,2714
1998-06-09 01:09:00,3045
1998-06-09 01:10:00,2803
1998-06-09 01:11:00,2986
1998-06-09 01:12:00,2764
1998-06-09 01:13:00,2690
1998-06-09 01:14:00,2915
1998-06-09 01:15:00,2959
1998-06-09 01:16:00,2984
1998-06-09 01:17:00,2986
1998-06-09 01:18:00,2851
1998-06-09 01:19:00,2793
1998-06-09 01:20:00,2904
1998-06-09 01:21:00,3132
1998-06-09 01:22:00,2899
1998-06-09 01:23:00,3035
1998-06-09 01:24:00,2971
1998-06-09 01:25:00,3367
1998-06-09 01:26:00,3299
1998-06-09 01:27:00,3081
1998-06-09 01:28:00,2941
1998-06-09 01:29:00,2948
1998-06-09 01:30:00,3023
1998-06-09 01:31:00,3105
1998-06-09 01:32:00,2933
1998-06-09 01:33:00,3083
1998-06-09 01:34:00,3291
1998-06-09 01:35:00,3117
1998-06-09 01:36:00,3072
1998-06-09 01:37:00,3065
1998-06-09 01:38:00,2769
1998-06-09 01:39:00,2917
1998-06-09 01:40:00,2912
1998-06-09 01:41:00,3145
1998-06-09 01:42:00,3054
1998-06-09 01:43:00,3088
1998-06-09 01:44:00,2958
1998-06-09 01:45:00,3055
1998-06-09 01:46:00,3170
1998-06-09 01:47:00,3421
1998-06-09 01:48:00,3166
1998-06-09 01:49:00,2886
1998-06-09 01:50:00,3157
1998-06-09 01:51:00,2896
1998-06-09 01:52:00,2998
1998-06-09 01:53:00,3093
1998-06-09 01:54:00,2998
1998-06-09 01:55:00,3198
1998-06-09 01:56:00,3396
1998-06-09 01:57:00,3287
1998-06-09 01:58:00,2901
1998-06-09 01:59:00,3079
1998-06-09 02:00:00,2771
1998-06-09 02:01:00,2796
1998-06-09 02:02:00,2940
1998-06-09 02:03:00,2788
1998-06-09 02:04:00,2662
1998-06-09 02:05:00,3059
1998-06-09 02:06:00,2962
1998-06-09 02:07:00,3056
1998-06-09 02:08:00,2812
1998-06-09 02:09:00,2612
1998-06-09 02:10:00,2826
1998-06-09 02:11:00,3079
1998-06-09 02:12:00,3153
1998-06-09 02:13:00,3079
1998-06-09 02:14:00,3105
1998-06-09 02:15:00,3074
1998-06-09 02:16:00,3318
1998-06-09 02:17:00,3090
1998-06-09 02:18:00,2979
1998-06-09 02:19:00,3017
1998-06-09 02:20:00,3317
1998-06-09 02:21:00,3373
1998-06-09 02:22:00,3149
1998-06-09 02:23:00,3212
1998-06-09 02:24:00,2993
1998-06-09 02:25:00,2861
1998-06-09 02:26:00,2989
1998-06-09 02:27:00,3083
1998-06-09 02:28:00,2816
1998-06-09 02:29:00,2991
1998-06-09 02:30:00,2660
1998-06-09 02:31:00,2849
1998-06-09 02:32:00,2654
1998-06-09 02:33:00,2990
1998-06-09 02:34:00,2677
1998-06-09 02:35:00,2772
1998-06-09 02:36:00,2879
1998-06-09 02:37:00,2785
1998-06-09 02:38:00,3037
1998-06-09 02:39:00,3106
1998-06-09 02:40:00,2960
1998-06-09 02:41:00,3038
1998-06-09 02:42:00,3112
1998-06-09 02:43:00,2985
1998-06-09 02:44:00,2955
1998-06-09 02:45:00,2951
1998-06-09 02:46:00,2762
1998-06-09 02:47:00,3003
1998-06-09 02:48:00,2834
1998-06-09 02:49:00,2920
1998-06-09 02:50:00,2969
1998-06-09 02:51:00,2664
1998-06-09 02:52:00,3015
1998-06-09 02:53:00,2963
1998-06-09 02:54:00,3033
1998-06-09 02:55:00,2774
1998-06-09 02:56:00,3040
1998-06-09 02:57:00,3137
1998-06-09 02:58:00,3043
1998-06-09 02:59:00,2796
1998-06-09 03:00:00,2627
1998-06-09 03:01:00,2768
1998-06-09 03:02:00,2844
1998-06-09 03:03:00,3054
1998-06-09 03:04:00,3226
1998-06-09 03:05:00,3012
1998-06-09 03:06:00,2880
1998-06-09 03:07:00,2798
1998-06-09 03:08:00,2853
1998-06-09 03:09:00,2883
1998-06-09 03:10:00,3075
1998-06-09 03:11:00,2889
1998-06-09 03:12:00,3130
1998-06-09 03:13:00,2879
1998-06-09 03:14:00,3086
1998-06-09 03:15:00,3181
1998-06-09 03:16:00,3040
1998-06-09 03:17:00,3257
1998-06-09 03:18:00,3288
1998-06-09 03:19:00,3104
1998-06-09 03:20:00,2958
1998-06-09 03:21:00,3078
1998-06-09 03:22:00,3375
1998-06-09 03:23:00,3220
1998-06-09 03:24:00,3285
1998-06-09 03:25:00,3162
1998-06-09 03:26:00,3033
1998-06-09 03:27:00,3209
1998-06-09 03:28:00,3015
1998-06-09 03:29:00,3069
1998-06-09 03:30:00,3057
1998-06-09 03:31:00,3484
1998-06-09 03:32:00,3019
1998-06-09 03:33:00,3036
1998-06-09 03:34:00,3277
1998-06-09 03:35:00,2868
1998-06-09 03:36:00,2683
1998-06-09 03:37:00,2797
1998-06-09 03:38:00,3133
1998-06-09 03:39:00,3148
1998-06-09 03:40:00,3447
1998-06-09 03:41:00,3023
1998-06-09 03:42:00,3169
1998-06-09 03:43:00,3296
1998-06-09 03:44:00,3080
1998-06-09 03:45:00,2695
1998-06-09 03:46:00,2770
1998-06-09 03:47:00,3221
1998-06-09 03:48:00,3345
1998-06-09 03:49:00,3264
1998-06-09 03:50:00,3334
1998-06-09 03:51:00,3275
1998-06-09 03:52:00,3165
1998-06-09 03:53:00,3219
1998-06-09 03:54:00,3176
1998-06-09 03:55:00,3083
1998-06-09 03:56:00,3147
1998-06-09 03:57:00,3092
1998-06-09 03:58:00,3195
1998-06-09 03:59:00,3010
1998-06-09 04:00:00,2974
1998-06-09 04:01:00,2745
1998-06-09 04:02:00,2803
1998-06-09 04:03:00,2926
1998-06-09 04:04:00,3030
1998-06-09 04:05:00,2770
1998-06-09 04:06:00,2802
1998-06-09 04:07:00,2932
1998-06-09 04:08:00,3090
1998-06-09 04:09:00,2957
1998-06-09 04:10:00,2831
1998-06-09 04:11:00,2566
1998-06-09 04:12:00,2708
1998-06-09 04:13:00,2900
1998-06-09 04:14:00,3074
1998-06-09 04:15:00,2586
1998-06-09 04:16:00,2710
1998-06-09 04:17:00,2763
1998-06-09 04:18:00,2731
1998-06-09 04:19:00,2548
1998-06-09 04:20:00,2769
1998-06-09 04:21:00,2682
1998-06-09 04:22:00,2787
1998-06-09 04:23:00,2689
1998-06-09 04:24:00,2762
1998-06-09 04:25:00,2856
1998-06-09 04:26:00,2877
1998-06-09 04:27:00,3059
1998-06-09 04:28:00,2962
1998-06-09 04:29:00,2815
1998-06-09 04:30:00,2531
1998-06-09 04:31:00,2518
1998-06-09 04:32:00,2547
1998-06-09 04:33:00,2755
1998-06-09 04:34:00,2938
1998-06-09 04:35:00,2920
1998-06-09 04:36:00,2688
1998-06-09 04:37:00,2613
1998-06-09 04:38:00,2756
1998-06-09 04:39:00,2795
1998-06-09 04:40:00,2765
1998-06-09 04:41:00,2900
1998-06-09 04:42:00,2649
1998-06-09 04:43:00,2540
1998-06-09 04:44:00,2594
1998-06-09 04:45:00,2572
1998-06-09 04:46:00,2471
1998-06-09 04:47:00,2345
1998-06-09 04:48:00,2285
1998-06-09 04:49:00,2305
1998-06-09 04:50:00,2539
1998-06-09 04:51:00,2614
1998-06-09 04:52:00,2700
1998-06-09 04:53:00,2801
1998-06-09 04:54:00,2624
1998-06-09 04:55:00,2517
1998-06-09 04:56:00,2466
1998-06-09 04:57:00,2620
1998-06-09 04:58:00,2790
1998-06-09 04:59:00,2815
1998-06-09 05:00:00,2793
1998-06-09 05:01:00,2679
1998-06-09 05:02:00,2679
1998-06-09 05:03:00,2673
1998-06-09 05:04:00,2621
1998-06-09 05:05:00,2589
1998-06-09 05:06:00,2506
1998-06-09 05:07:00,2271
1998-06-09 05:08:00,2519
1998-06-09 05:09:00,2647
1998-06-09 05:10:00,2623
1998-06-09 05:11:00,2911
1998-06-09 05:12:00,2749
1998-06-09 05:13:00,2665
1998-06-09 05:14:00,2548
1998-06-09 05:15:00,2668
1998-06-09 05:16:00,2652
1998-06-09 05:17:00,2775
1998-06-09 05:18:00,2841
1998-06-09 05:19:00,2726
1998-06-09 05:20:00,2641
1998-06-09 05:21:00,2964
1998-06-09 05:22:00,2832
1998-06-09 05:23:00,2684
1998-06-09 05:24:00,2779
1998-06-09 05:25:00,2780
1998-06-09 05:26:00,2722
1998-06-09 05:27:00,2757
1998-06-09 05:28:00,2866
1998-06-09 05:29:00,2614
1998-06-09 05:30:00,2770
1998-06-09 05:31:00,2784
1998-06-09 05:32:00,2664
1998-06-09 05:33:00,2790
1998-06-09 05:34:00,2730
1998-06-09 05:35:00,2547
1998-06-09 05:36:00,2480
1998-06-09 05:37:00,2830
1998-06-09 05:38:00,3058
1998-06-09 05:39:00,3234
1998-06-09 05:40:00,3024
1998-06-09 05:41:00,2843
1998-06-09 05:42:00,2904
1998-06-09 05:43:00,2714
1998-06-09 05:44:00,2810
1998-06-09 05:45:00,2855
1998-06-09 05:46:00,2935
1998-06-09 05:47:00,2792
1998-06-09 05:48:00,2855
1998-06-09 05:49:00,2747
1998-06-09 05:50:00,2899
1998-06-09 05:51:00,2613
1998-06-09 05:52:00,2912
1998-06-09 05:53:00,2820
1998-06-09 05:54:00,2743
1998-06-09 05:55:00,2872
1998-06-09 05:56:00,2762
1998-06-09 05:57:00,2928
1998-06-09 05:58:00,2867
1998-06-09 05:59:00,2839
1998-06-09 06:00:00,2947
1998-06-09 06:01:00,3209
1998-06-09 06:02:00,3295
1998-06-09 06:03:00,3197
1998-06-09 06:04:00,3096
1998-06-09 06:05:00,3061
1998-06-09 06:06:00,3063
1998-06-09 06:07:00,3061
