period,count
1998-06-15 00:00:00,15008
1998-06-15 00:01:00,15833
1998-06-15 00:02:00,16615
1998-06-15 00:03:00,16049
1998-06-15 00:04:00,16136
1998-06-15 00:05:00,15826
1998-06-15 00:06:00,15848
1998-06-15 00:07:00,15982
1998-06-15 00:08:00,15940
1998-06-15 00:09:00,15105
1998-06-15 00:10:00,15402
1998-06-15 00:11:00,15203
1998-06-15 00:12:00,16044
1998-06-15 00:13:00,15793
1998-06-15 00:14:00,15997
1998-06-15 00:15:00,16725
1998-06-15 00:16:00,17528
1998-06-15 00:17:00,17395
1998-06-15 00:18:00,16024
1998-06-15 00:19:00,14972
1998-06-15 00:20:00,14914
1998-06-15 00:21:00,16400
1998-06-15 00:22:00,16886
1998-06-15 00:23:00,16182
1998-06-15 00:24:00,16099
1998-06-15 00:25:00,16025
1998-06-15 00:26:00,14924
1998-06-15 00:27:00,14789
1998-06-15 00:28:00,15477
1998-06-15 00:29:00,15438
1998-06-15 00:30:00,15762
1998-06-15 00:31:00,15631
1998-06-15 00:32:00,14261
1998-06-15 00:33:00,15443
1998-06-15 00:34:00,15632
1998-06-15 00:35:00,15744
1998-06-15 00:36:00,16102
1998-06-15 00:37:00,17047
1998-06-15 00:38:00,17966
1998-06-15 00:39:00,16413
1998-06-15 00:40:00,16616
1998-06-15 00:41:00,16751
1998-06-15 00:42:00,17576
1998-06-15 00:43:00,16987
1998-06-15 00:44:00,17452
1998-06-15 00:45:00,16977
1998-06-15 00:46:00,16626
1998-06-15 00:47:00,16694
1998-06-15 00:48:00,16510
1998-06-15 00:49:00,16915
1998-06-15 00:50:00,17741
1998-06-15 00:51:00,17227
1998-06-15 00:52:00,16522
1998-06-15 00:53:00,16947
1998-06-15 00:54:00,17728
1998-06-15 00:55:00,18555
1998-06-15 00:56:00,17222
1998-06-15 00:57:00,16903
1998-06-15 00:58:00,15703
1998-06-15 00:59:00,16246
1998-06-15 01:00:00,16179
1998-06-15 01:01:00,15765
1998-06-15 01:02:00,17182
1998-06-15 01:03:00,17017
1998-06-15 01:04:00,17203
1998-06-15 01:05:00,16374
1998-06-15 01:06:00,16113
1998-06-15 01:07:00,17647
1998-06-15 01:08:00,15485
1998-06-15 01:09:00,16085
1998-06-15 01:10:00,16935
1998-06-15 01:11:00,15499
1998-06-15 01:12:00,15040
1998-06-15 01:13:00,15854
1998-06-15 01:14:00,15251
1998-06-15 01:15:00,14401
1998-06-15 01:16:00,15174
1998-06-15 01:17:00,14470
1998-06-15 01:18:00,15189
1998-06-15 01:19:00,15133
1998-06-15 01:20:00,15707
1998-06-15 01:21:00,16517
1998-06-15 01:22:00,15752
1998-06-15 01:23:00,15447
1998-06-15 01:24:00,15735
1998-06-15 01:25:00,16355
1998-06-15 01:26:00,15595
1998-06-15 01:27:00,14582
1998-06-15 01:28:00,14913
1998-06-15 01:29:00,15290
1998-06-15 01:30:00,16396
1998-06-15 01:31:00,15069
1998-06-15 01:32:00,15527
1998-06-15 01:33:00,16128
1998-06-15 01:34:00,16125
1998-06-15 01:35:00,15017
1998-06-15 01:36:00,13825
1998-06-15 01:37:00,14148
1998-06-15 01:38:00,14187
1998-06-15 01:39:00,14916
1998-06-15 01:40:00,15348
1998-06-15 01:41:00,15454
1998-06-15 01:42:00,15482
1998-06-15 01:43:00,15404
1998-06-15 01:44:00,15705
1998-06-15 01:45:00,14735
1998-06-15 01:46:00,15221
1998-06-15 01:47:00,15338
1998-06-15 01:48:00,15048
1998-06-15 01:49:00,13879
1998-06-15 01:50:00,14414
1998-06-15 01:51:00,15155
1998-06-15 01:52:00,14185
1998-06-15 01:53:00,13981
1998-06-15 01:54:00,14042
1998-06-15 01:55:00,13829
1998-06-15 01:56:00,14566
1998-06-15 01:57:00,14207
1998-06-15 01:58:00,14165
1998-06-15 01:59:00,14190
1998-06-15 02:00:00,15037
1998-06-15 02:01:00,14336
1998-06-15 02:02:00,14636
1998-06-15 02:03:00,14044
1998-06-15 02:04:00,13128
1998-06-15 02:05:00,13663
1998-06-15 02:06:00,13694
1998-06-15 02:07:00,12515
1998-06-15 02:08:00,13277
1998-06-15 02:09:00,14098
1998-06-15 02:10:00,14307
1998-06-15 02:11:00,13697
1998-06-15 02:12:00,13406
1998-06-15 02:13:00,13007
1998-06-15 02:14:00,13385
1998-06-15 02:15:00,13520
1998-06-15 02:16:00,13552
1998-06-15 02:17:00,13073
1998-06-15 02:18:00,13168
1998-06-15 02:19:00,12610
1998-06-15 02:20:00,13175
1998-06-15 02:21:00,13068
1998-06-15 02:22:00,12592
1998-06-15 02:23:00,13012
